name	ingredient	rxcui
(131i) meta-iodobenzylguanidine for diagnostic use ge healthcare	iobenguane (131i)	2053281
(18f) fludeoxyglucose curium	fludeoxyglucose (18f)	1362737
-1	tafluprost	1244607
0,5 m-calciumchlorid deltamedica	calcium chloride dihydrate	221068
1 m kalijev klorid hztm	potassium chloride	8591
1 m-kaliumchlorid-lösung deltamedica	potassium chloride	8591
1,3-diphenylguanidin smartpractice europe	diphenylguanidine	1368170
1-alpha	alfacalcidol	12062
1-alpha i.v.	alfacalcidol	12062
11c-cholina	choline c-11	1425419
131 i sodium iodide curium netherlands b.v.	sodium iodide	9884
131i-nátrium-jodid izotóp intézet	sodium iodide (131i)	91535
14c helizo	urea 14c	253158
18-fd-glukoza	fludeoxyglucose (18f)	1362737
18f-fdg hoboken	fludeoxyglucose (18f)	1362737
2-(2-aminoethoxy)ethanol (diglykolamin) smartpractice europe	2-(2-aminoethoxy)ethanol	1737111
2-[18f]-fdg radiomedic	fludeoxyglucose (18f)	1362737
2-fluorglukose (18-f) rotop pharmaka	fludeoxyglucose (18f)	1362737
2-hydroxy-4-methoxy-benzophenon (oxybenzon) smartpractice europe	oxybenzone	32673
2-mercaptobenzothiazol smartpractice europe	mercaptobenzothiazole	1358845
2-propanol-wasser-gemisch diamed beratungsgesellschaft für pharmazeutische unternehmen	isopropyl alcohol	797541
28 mini	levonorgestrel	6373
2lebv	deoxyribonucleic acid, interleukin-1, interleukin-2, ribonucleic acid, specific nucleic acid sna-ebv, specific nucleic acid sna-hla ii	9394
2lherp	deoxyribonucleic acid, ribonucleic acid, specific nucleic acid sna-her1, specific nucleic acid sna-her2, specific nucleic acid sna-hla i, specific nucleic acid sna-hla ii	9394
2lveru	interferon alfa, interleukin-1, interleukin-2, ribonucleic acid, specific nucleic acid sna-hla ii, specific nucleic acid sna-veru	9394
2lveru junior	interferon alfa, interleukin-1, interleukin-2, ribonucleic acid, specific nucleic acid sna-hla ii, specific nucleic acid sna-veru	9394
3 months plus	paracetamol	161
3-aminophenol smartpractice europe	3-aminophenol	1435285
3z	azithromycin dihydrate	253155
4 mg orodispersible film	dexamethasone	3264
4-dmap dr. franz köhler chemie gmbh	4-dimethylaminophenol hydrochloride	236930
4-hexylresorcin smartpractice europe	hexylresorcinol	5321
4flex puregel	naproxen	7258
4head	levomenthol	236388
5 fu	fluorouracil	4492
5 – nok®	nitroxoline	31901
5-fluorouracil	fluorouracil	4492
5-fluorouracil ebewe	fluorouracil	4492
5-fluorouracil sandoz	fluorouracil	4492
5-fu medac	fluorouracil	4492
5-fu onkovis	fluorouracil	4492
5-nok	nitroxoline	31901
5-Флуороурацил “ебеве”	fluorouracil	4492
6 mg orodispersible film	dexamethasone	3264
60 mg, audalis	atomoxetine hydrochloride	353103
8 mg orodispersible film	dexamethasone	3264
[123i] sodium iodide ge healthcare	sodium iodide (123 i)	91531
[123i] sodium iodide injection ge healthcare	sodium iodide (123 i)	91531
[123i]-nátrium-jodid curium netherlands bv	sodium iodide (123 i)	91531
[131i] meta-iodobenzylguanidine for diagnostic use ge healthcare	iobenguane (131i)	2053281
[131i] meta-iodobenzylguanidine for therapeutic use ge healthcare	iobenguane (131i)	2053281
[131i] Мета-Йодбензилгуанидин За Диагностика ge healthcare buchler	iobenguane (131i)	2053281
[131ι]-Μετα-Ιωδοβενζυλογουανιδίνη Για Διαγνωστικούσ Σκοπούσ ge healthcare	iobenguane (131i)	2053281
[131ι]μετα-Ιωδοβενζυλογουανιδίνη Για Θεραπευτικούσ Σκοπούσ ge healthcare	iobenguane (131i)	2053281
[13c]-urea	13c-urea	226724
[13c]-urea izinta kereskedelmi	13c-urea	226724
[18f] fdg	fludeoxyglucose (18f)	1362737
[18f] fludeoxyglucose biont	fludeoxyglucose (18f)	1362737
[18f] fludeoxyglucose curium	fludeoxyglucose (18f)	1362737
[18f] fludeoxyglucose ujv	fludeoxyglucose (18f)	1362737
[18f] Фдг	fludeoxyglucose (18f)	1362737
[18f]-fdg-fzk zag zyklotron	fludeoxyglucose (18f)	1362737
[18f]fdg	fludeoxyglucose (18f)	1362737
[18f]fdg life radiopharma	fludeoxyglucose (18f)	1362737
[18f]fdg-fr life radiopharma berlin	fludeoxyglucose (18f)	1362737
[18f]fdg-le	fludeoxyglucose (18f)	1362737
